"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-01",,,"39","H,,S",,,"29",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-02","0.01",",,S","39","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-03","0.00",",,S","37","H,,S",,,"28",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-04",,,"38","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-05",,,"40","H,,S",,,"32",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-06",,,"41","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-07",,,"42","H,,S",,,"32",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-08",,,"43","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-09",,,"31","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-10",,,"24","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-11",,,"29","H,,S",,,"15",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-12",,,"25","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-13",,,"20","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-14","0.02",",,S","16","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-15","0.00",",,S","21","H,,S",,,"11",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-16",,,"26","H,,S",,,"16",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-17",,,"30","H,,S",,,"19",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-18",,,"30","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-19",,,"31","H,,S",,,"23",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-20","0.16",",,S","21","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-21","1.97",",,S","23","H,,S",,,"14",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-22","0.08",",,S","15","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-23","0.79",",,S","17","H,,S",,,"9",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-24","0.00",",,S","20","H,,S",,,"11",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-25",,,"24","H,,S",,,"14",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-26",,,"33","H,,S",,,"18",",,S"
